# Irregular inflections: one 'form lemma' pair per line, from Princeton WordNet 3.0
# (verb.exc / noun.exc / adj.exc / adv.exc), pruned to entries whose lemma exists in
# wordlist/known_words.txt. Regular forms are handled by rules in WordMorphology.kt.
haziest hazy
healthier healthy
healthiest healthy
heard hear
heartier hearty
heartiest hearty
heavier heavy
heaviest heavy
held hold
heroes hero
hid hide
hidden hide
hipper hip
hippest hip
hitting hit
holier holy
holiest holy
homelier homely
homeliest homely
honied honey
hopped hop
hopping hop
horrified horrify
hotter hot
hottest hot
housewives housewife
hove heave
hugged hug
hugging hug
hummed hum
humming hum
hung hang
hungrier hungry
hungriest hungry
hurried hurry
hypotheses hypothesis
icier icy
iciest icy
identified identify
implied imply
incurred incur
incurring incur
indices index
inferred infer
inferring infer
initialled initial
initialling initial
installed instal
installing instal
intensified intensify
is be
jammed jam
jamming jam
japanned japan
japanning japan
jarred jar
jarring jar
jellied jelly
jetted jet
jetting jet
jewelled jewel
jewelling jewel
jobbed job
jobbing job
jogged jog
jogging jog
jollied jolly
jollier jolly
jolliest jolly
juicier juicy
juiciest juicy
justified justify
kept keep
kidded kid
kidding kid
kidnapped kidnap
kidnapping kidnap
knelt kneel
knew know
knitted knit
knitting knit
knives knife
knobbed knob
knobbing knob
knotted knot
knottier knotty
knottiest knotty
knotting knot
known know
labelled label
labelling label
lagged lag
lagging lag
laid lay
lain lie
lapped lap
lapping lap
lay lie
lazier lazy
laziest lazy
leant lean
leapt leap
learnt learn
leaves leaf
led lead
left leave
lengthier lengthy
lengthiest lengthy
lent lend
letting let
levelled level
levelling level
levied levy
lipped lip
lipping lip
lit light
livelier lively
liveliest lively
lives life
loaves loaf
lobbied lobby
loftier lofty
loftiest lofty
logged log
logging log
lonelier lonely
loneliest lonely
lost lose
lotted lot
lotting lot
lovelier lovely
loveliest lovely
luckier lucky
luckiest lucky
lying lie
madded mad
madder mad
maddest mad
madding mad
made make
magnified magnify
manlier manly
manliest manly
manned man
manning man
mapped map
mapping map
marred mar
married marry
marring mar
marshalled marshal
marshalling marshal
marvelled marvel
marvelling marvel
masses mass
matted mat
matting mat
maxima maximum
meant mean
meatier meaty
meatiest meaty
medalled medal
medalling medal
media medium
mediae media
memoranda memorandum
men man
merrier merry
merriest merry
messier messy
messiest messy
met meet
metalled metal
metalling metal
mice mouse
midwives midwife
might may
mightier mighty
mightiest mighty
milkier milky
milkiest milky
minima minimum
misled mislead
mistaken mistake
mistier misty
mistiest misty
mistook mistake
misunderstood misunderstand
modelled model
modelling model
modified modify
moldier moldy
moldiest moldy
molten melt
momenta momentum
moodier moody
moodiest moody
mopped mop
mopping mop
moslim moslem
moslims moslem
mosquitoes mosquito
mottoes motto
mouldier mouldy
mouldiest mouldy
mown mow
mudded mud
muddied muddy
muddier muddy
muddiest muddy
mudding mud
mugged mug
mugging mug
multiplied multiply
napped nap
napping nap
nastier nasty
nastiest nasty
naughtier naughty
naughtiest naughty
needier needy
neediest needy
negroes negro
netted net
netting net
nickelled nickel
nickelling nickel
nodded nod
nodding nod
noes no
noisier noisy
noisiest noisy
nosier nosy
nosiest nosy
notified notify
nuclei nucleus
nutted nut
nutting nut
occupied occupy
occurred occur
occurring occur
offer off
offsetting offset
oilier oily
oiliest oily
omitted omit
